,fixed.acidity,volatile.acidity,citric.acid,residual.sugar,chlorides,free.sulfur.dioxide,total.sulfur.dioxide,density,pH,sulphates,alcohol,quality
315,7.4,0.36,0.29,2.6,0.087,26,72,0.99645,3.39,0.68,11,1
316,7.1,0.35,0.29,2.5,0.096,20,53,0.9962,3.42,0.65,11,2
317,9.6,0.56,0.23,3.4,0.102,37,92,0.9996,3.3,0.65,10.1,1
318,9.6,0.77,0.12,2.9,0.082,30,74,0.99865,3.3,0.64,10.4,2
319,9.8,0.66,0.39,3.2,0.083,21,59,0.9989,3.37,0.71,11.5,2
320,9.6,0.77,0.12,2.9,0.082,30,74,0.99865,3.3,0.64,10.4,2
321,9.8,0.66,0.39,3.2,0.083,21,59,0.9989,3.37,0.71,11.5,2
322,9.3,0.61,0.26,3.4,0.09,25,87,0.99975,3.24,0.62,9.7,1
323,7.8,0.62,0.05,2.3,0.079,6,18,0.99735,3.29,0.63,9.3,1
324,10.3,0.59,0.42,2.8,0.09,35,73,0.999,3.28,0.7,9.5,2
325,10,0.49,0.2,11,0.071,13,50,1.0015,3.16,0.69,9.2,2
326,10,0.49,0.2,11,0.071,13,50,1.0015,3.16,0.69,9.2,2
327,11.6,0.53,0.66,3.65,0.121,6,14,0.9978,3.05,0.74,11.5,2
328,10.3,0.44,0.5,4.5,0.107,5,13,0.998,3.28,0.83,11.5,1
329,13.4,0.27,0.62,2.6,0.082,6,21,1.0002,3.16,0.67,9.7,2
330,10.7,0.46,0.39,2,0.061,7,15,0.9981,3.18,0.62,9.5,1
331,10.2,0.36,0.64,2.9,0.122,10,41,0.998,3.23,0.66,12.5,2
332,10.2,0.36,0.64,2.9,0.122,10,41,0.998,3.23,0.66,12.5,2
333,8,0.58,0.28,3.2,0.066,21,114,0.9973,3.22,0.54,9.4,2
334,8.4,0.56,0.08,2.1,0.105,16,44,0.9958,3.13,0.52,11,1
335,7.9,0.65,0.01,2.5,0.078,17,38,0.9963,3.34,0.74,11.7,2
336,11.9,0.695,0.53,3.4,0.128,7,21,0.9992,3.17,0.84,12.2,2
337,8.9,0.43,0.45,1.9,0.052,6,16,0.9948,3.35,0.7,12.5,2
338,7.8,0.43,0.32,2.8,0.08,29,58,0.9974,3.31,0.64,10.3,1
339,12.4,0.49,0.58,3,0.103,28,99,1.0008,3.16,1,11.5,2
340,12.5,0.28,0.54,2.3,0.082,12,29,0.9997,3.11,1.36,9.8,2
341,12.2,0.34,0.5,2.4,0.066,10,21,1,3.12,1.18,9.2,2
342,10.6,0.42,0.48,2.7,0.065,5,18,0.9972,3.21,0.87,11.3,2
343,10.9,0.39,0.47,1.8,0.118,6,14,0.9982,3.3,0.75,9.8,2
344,10.9,0.39,0.47,1.8,0.118,6,14,0.9982,3.3,0.75,9.8,2
345,11.9,0.57,0.5,2.6,0.082,6,32,1.0006,3.12,0.78,10.7,2
346,7,0.685,0,1.9,0.067,40,63,0.9979,3.6,0.81,9.9,1
347,6.6,0.815,0.02,2.7,0.072,17,34,0.9955,3.58,0.89,12.3,2
348,13.8,0.49,0.67,3,0.093,6,15,0.9986,3.02,0.93,12,2
349,9.6,0.56,0.31,2.8,0.089,15,46,0.9979,3.11,0.92,10,2
350,9.1,0.785,0,2.6,0.093,11,28,0.9994,3.36,0.86,9.4,2
351,10.7,0.67,0.22,2.7,0.107,17,34,1.0004,3.28,0.98,9.9,2
352,9.1,0.795,0,2.6,0.096,11,26,0.9994,3.35,0.83,9.4,2
353,7.7,0.665,0,2.4,0.09,8,19,0.9974,3.27,0.73,9.3,1
354,13.5,0.53,0.79,4.8,0.12,23,77,1.0018,3.18,0.77,13,1
355,6.1,0.21,0.4,1.4,0.066,40.5,165,0.9912,3.25,0.59,11.9,2
356,6.7,0.75,0.01,2.4,0.078,17,32,0.9955,3.55,0.61,12.8,2
357,11.5,0.41,0.52,3,0.08,29,55,1.0001,3.26,0.88,11,1
358,10.5,0.42,0.66,2.95,0.116,12,29,0.997,3.24,0.75,11.7,2
359,11.9,0.43,0.66,3.1,0.109,10,23,1,3.15,0.85,10.4,2
360,12.6,0.38,0.66,2.6,0.088,10,41,1.001,3.17,0.68,9.8,2
361,8.2,0.7,0.23,2,0.099,14,81,0.9973,3.19,0.7,9.4,1
362,8.6,0.45,0.31,2.6,0.086,21,50,0.9982,3.37,0.91,9.9,2
363,11.9,0.58,0.66,2.5,0.072,6,37,0.9992,3.05,0.56,10,1
364,12.5,0.46,0.63,2,0.071,6,15,0.9988,2.99,0.87,10.2,1
365,12.8,0.615,0.66,5.8,0.083,7,42,1.0022,3.07,0.73,10,2
366,10,0.42,0.5,3.4,0.107,7,21,0.9979,3.26,0.93,11.8,2
367,12.8,0.615,0.66,5.8,0.083,7,42,1.0022,3.07,0.73,10,2
368,10.4,0.575,0.61,2.6,0.076,11,24,1,3.16,0.69,9,1
369,10.3,0.34,0.52,2.8,0.159,15,75,0.9998,3.18,0.64,9.4,1
370,9.4,0.27,0.53,2.4,0.074,6,18,0.9962,3.2,1.13,12,2
371,6.9,0.765,0.02,2.3,0.063,35,63,0.9975,3.57,0.78,9.9,1
372,7.9,0.24,0.4,1.6,0.056,11,25,0.9967,3.32,0.87,8.7,2
373,9.1,0.28,0.48,1.8,0.067,26,46,0.9967,3.32,1.04,10.6,2
374,7.4,0.55,0.22,2.2,0.106,12,72,0.9959,3.05,0.63,9.2,1
375,14,0.41,0.63,3.8,0.089,6,47,1.0014,3.01,0.81,10.8,2
376,11.5,0.54,0.71,4.4,0.124,6,15,0.9984,3.01,0.83,11.8,2
377,11.5,0.45,0.5,3,0.078,19,47,1.0003,3.26,1.11,11,2
378,9.4,0.27,0.53,2.4,0.074,6,18,0.9962,3.2,1.13,12,2
379,11.4,0.625,0.66,6.2,0.088,6,24,0.9988,3.11,0.99,13.3,2
380,8.3,0.42,0.38,2.5,0.094,24,60,0.9979,3.31,0.7,10.8,2
381,8.3,0.26,0.42,2,0.08,11,27,0.9974,3.21,0.8,9.4,2
382,13.7,0.415,0.68,2.9,0.085,17,43,1.0014,3.06,0.8,10,2
383,8.3,0.26,0.42,2,0.08,11,27,0.9974,3.21,0.8,9.4,2
384,8.3,0.26,0.42,2,0.08,11,27,0.9974,3.21,0.8,9.4,2
385,7.7,0.51,0.28,2.1,0.087,23,54,0.998,3.42,0.74,9.2,1
386,7.4,0.63,0.07,2.4,0.09,11,37,0.9979,3.43,0.76,9.7,2
387,7.8,0.54,0.26,2,0.088,23,48,0.9981,3.41,0.74,9.2,2
388,8.3,0.66,0.15,1.9,0.079,17,42,0.9972,3.31,0.54,9.6,2
389,7.8,0.46,0.26,1.9,0.088,23,53,0.9981,3.43,0.74,9.2,2
390,9.6,0.38,0.31,2.5,0.096,16,49,0.9982,3.19,0.7,10,2
391,5.6,0.85,0.05,1.4,0.045,12,88,0.9924,3.56,0.82,12.9,2
392,13.7,0.415,0.68,2.9,0.085,17,43,1.0014,3.06,0.8,10,2
393,9.5,0.37,0.52,2,0.082,6,26,0.998,3.18,0.51,9.5,1
394,8.4,0.665,0.61,2,0.112,13,95,0.997,3.16,0.54,9.1,1
395,12.7,0.6,0.65,2.3,0.063,6,25,0.9997,3.03,0.57,9.9,1
396,12,0.37,0.76,4.2,0.066,7,38,1.0004,3.22,0.6,13,2
397,6.6,0.735,0.02,7.9,0.122,68,124,0.9994,3.47,0.53,9.9,1
398,11.5,0.59,0.59,2.6,0.087,13,49,0.9988,3.18,0.65,11,2
399,11.5,0.59,0.59,2.6,0.087,13,49,0.9988,3.18,0.65,11,2
400,8.7,0.765,0.22,2.3,0.064,9,42,0.9963,3.1,0.55,9.4,1
401,6.6,0.735,0.02,7.9,0.122,68,124,0.9994,3.47,0.53,9.9,1
402,7.7,0.26,0.3,1.7,0.059,20,38,0.9949,3.29,0.47,10.8,2
403,12.2,0.48,0.54,2.6,0.085,19,64,1,3.1,0.61,10.5,2
404,11.4,0.6,0.49,2.7,0.085,10,41,0.9994,3.15,0.63,10.5,2
405,7.7,0.69,0.05,2.7,0.075,15,27,0.9974,3.26,0.61,9.1,1
406,8.7,0.31,0.46,1.4,0.059,11,25,0.9966,3.36,0.76,10.1,2
407,9.8,0.44,0.47,2.5,0.063,9,28,0.9981,3.24,0.65,10.8,2
408,12,0.39,0.66,3,0.093,12,30,0.9996,3.18,0.63,10.8,2
409,10.4,0.34,0.58,3.7,0.174,6,16,0.997,3.19,0.7,11.3,2
410,12.5,0.46,0.49,4.5,0.07,26,49,0.9981,3.05,0.57,9.6,1
411,9,0.43,0.34,2.5,0.08,26,86,0.9987,3.38,0.62,9.5,2
412,9.1,0.45,0.35,2.4,0.08,23,78,0.9987,3.38,0.62,9.5,1
413,7.1,0.735,0.16,1.9,0.1,15,77,0.9966,3.27,0.64,9.3,1
414,9.9,0.4,0.53,6.7,0.097,6,19,0.9986,3.27,0.82,11.7,2
415,8.8,0.52,0.34,2.7,0.087,24,122,0.9982,3.26,0.61,9.5,1
416,8.6,0.725,0.24,6.6,0.117,31,134,1.0014,3.32,1.07,9.3,1
417,10.6,0.48,0.64,2.2,0.111,6,20,0.997,3.26,0.66,11.7,2
418,7,0.58,0.12,1.9,0.091,34,124,0.9956,3.44,0.48,10.5,1
419,11.9,0.38,0.51,2,0.121,7,20,0.9996,3.24,0.76,10.4,2
420,6.8,0.77,0,1.8,0.066,34,52,0.9976,3.62,0.68,9.9,1
421,9.5,0.56,0.33,2.4,0.089,35,67,0.9972,3.28,0.73,11.8,2
422,6.6,0.84,0.03,2.3,0.059,32,48,0.9952,3.52,0.56,12.3,2
423,7.7,0.96,0.2,2,0.047,15,60,0.9955,3.36,0.44,10.9,1
424,10.5,0.24,0.47,2.1,0.066,6,24,0.9978,3.15,0.9,11,2
425,7.7,0.96,0.2,2,0.047,15,60,0.9955,3.36,0.44,10.9,1
426,6.6,0.84,0.03,2.3,0.059,32,48,0.9952,3.52,0.56,12.3,2
427,6.4,0.67,0.08,2.1,0.045,19,48,0.9949,3.49,0.49,11.4,2
428,9.5,0.78,0.22,1.9,0.077,6,32,0.9988,3.26,0.56,10.6,2
429,9.1,0.52,0.33,1.3,0.07,9,30,0.9978,3.24,0.6,9.3,1
430,12.8,0.84,0.63,2.4,0.088,13,35,0.9997,3.1,0.6,10.4,2
431,10.5,0.24,0.47,2.1,0.066,6,24,0.9978,3.15,0.9,11,2
432,7.8,0.55,0.35,2.2,0.074,21,66,0.9974,3.25,0.56,9.2,1
433,11.9,0.37,0.69,2.3,0.078,12,24,0.9958,3,0.65,12.8,2
434,12.3,0.39,0.63,2.3,0.091,6,18,1.0004,3.16,0.49,9.5,1
435,10.4,0.41,0.55,3.2,0.076,22,54,0.9996,3.15,0.89,9.9,2
436,12.3,0.39,0.63,2.3,0.091,6,18,1.0004,3.16,0.49,9.5,1
437,8,0.67,0.3,2,0.06,38,62,0.9958,3.26,0.56,10.2,2
438,11.1,0.45,0.73,3.2,0.066,6,22,0.9986,3.17,0.66,11.2,2
439,10.4,0.41,0.55,3.2,0.076,22,54,0.9996,3.15,0.89,9.9,2
440,7,0.62,0.18,1.5,0.062,7,50,0.9951,3.08,0.6,9.3,1
441,12.6,0.31,0.72,2.2,0.072,6,29,0.9987,2.88,0.82,9.8,2
442,11.9,0.4,0.65,2.15,0.068,7,27,0.9988,3.06,0.68,11.3,2
443,15.6,0.685,0.76,3.7,0.1,6,43,1.0032,2.95,0.68,11.2,2
444,10,0.44,0.49,2.7,0.077,11,19,0.9963,3.23,0.63,11.6,2
445,5.3,0.57,0.01,1.7,0.054,5,27,0.9934,3.57,0.84,12.5,2
446,9.5,0.735,0.1,2.1,0.079,6,31,0.9986,3.23,0.56,10.1,2
447,12.5,0.38,0.6,2.6,0.081,31,72,0.9996,3.1,0.73,10.5,1
448,9.3,0.48,0.29,2.1,0.127,6,16,0.9968,3.22,0.72,11.2,1
449,8.6,0.53,0.22,2,0.1,7,27,0.9967,3.2,0.56,10.2,2
450,11.9,0.39,0.69,2.8,0.095,17,35,0.9994,3.1,0.61,10.8,2
451,11.9,0.39,0.69,2.8,0.095,17,35,0.9994,3.1,0.61,10.8,2
452,8.4,0.37,0.53,1.8,0.413,9,26,0.9979,3.06,1.06,9.1,2
453,6.8,0.56,0.03,1.7,0.084,18,35,0.9968,3.44,0.63,10,2
454,10.4,0.33,0.63,2.8,0.084,5,22,0.9998,3.26,0.74,11.2,2
455,7,0.23,0.4,1.6,0.063,21,67,0.9952,3.5,0.63,11.1,1
456,11.3,0.62,0.67,5.2,0.086,6,19,0.9988,3.22,0.69,13.4,2
457,8.9,0.59,0.39,2.3,0.095,5,22,0.9986,3.37,0.58,10.3,1
458,9.2,0.63,0.21,2.7,0.097,29,65,0.9988,3.28,0.58,9.6,1
459,10.4,0.33,0.63,2.8,0.084,5,22,0.9998,3.26,0.74,11.2,2
460,11.6,0.58,0.66,2.2,0.074,10,47,1.0008,3.25,0.57,9,1
461,9.2,0.43,0.52,2.3,0.083,14,23,0.9976,3.35,0.61,11.3,2
462,8.3,0.615,0.22,2.6,0.087,6,19,0.9982,3.26,0.61,9.3,1
463,11,0.26,0.68,2.55,0.085,10,25,0.997,3.18,0.61,11.8,1
464,8.1,0.66,0.7,2.2,0.098,25,129,0.9972,3.08,0.53,9,1
465,11.5,0.315,0.54,2.1,0.084,5,15,0.9987,2.98,0.7,9.2,2
466,10,0.29,0.4,2.9,0.098,10,26,1.0006,3.48,0.91,9.7,1
467,10.3,0.5,0.42,2,0.069,21,51,0.9982,3.16,0.72,11.5,2
468,8.8,0.46,0.45,2.6,0.065,7,18,0.9947,3.32,0.79,14,2
469,11.4,0.36,0.69,2.1,0.09,6,21,1,3.17,0.62,9.2,2
470,8.7,0.82,0.02,1.2,0.07,36,48,0.9952,3.2,0.58,9.8,1
471,13,0.32,0.65,2.6,0.093,15,47,0.9996,3.05,0.61,10.6,1
472,9.6,0.54,0.42,2.4,0.081,25,52,0.997,3.2,0.71,11.4,2
473,12.5,0.37,0.55,2.6,0.083,25,68,0.9995,3.15,0.82,10.4,2
474,9.9,0.35,0.55,2.1,0.062,5,14,0.9971,3.26,0.79,10.6,1
475,10.5,0.28,0.51,1.7,0.08,10,24,0.9982,3.2,0.89,9.4,2
476,9.6,0.68,0.24,2.2,0.087,5,28,0.9988,3.14,0.6,10.2,1
477,9.3,0.27,0.41,2,0.091,6,16,0.998,3.28,0.7,9.7,1
478,10.4,0.24,0.49,1.8,0.075,6,20,0.9977,3.18,1.06,11,2
479,9.6,0.68,0.24,2.2,0.087,5,28,0.9988,3.14,0.6,10.2,1
480,9.4,0.685,0.11,2.7,0.077,6,31,0.9984,3.19,0.7,10.1,2
481,10.6,0.28,0.39,15.5,0.069,6,23,1.0026,3.12,0.66,9.2,1
482,9.4,0.3,0.56,2.8,0.08,6,17,0.9964,3.15,0.92,11.7,2
483,10.6,0.36,0.59,2.2,0.152,6,18,0.9986,3.04,1.05,9.4,1
484,10.6,0.36,0.6,2.2,0.152,7,18,0.9986,3.04,1.06,9.4,1
485,10.6,0.44,0.68,4.1,0.114,6,24,0.997,3.06,0.66,13.4,2
486,10.2,0.67,0.39,1.9,0.054,6,17,0.9976,3.17,0.47,10,1
487,10.2,0.67,0.39,1.9,0.054,6,17,0.9976,3.17,0.47,10,1
488,10.2,0.645,0.36,1.8,0.053,5,14,0.9982,3.17,0.42,10,2
489,11.6,0.32,0.55,2.8,0.081,35,67,1.0002,3.32,0.92,10.8,2
490,9.3,0.39,0.4,2.6,0.073,10,26,0.9984,3.34,0.75,10.2,2
491,9.3,0.775,0.27,2.8,0.078,24,56,0.9984,3.31,0.67,10.6,2
492,9.2,0.41,0.5,2.5,0.055,12,25,0.9952,3.34,0.79,13.3,2
493,8.9,0.4,0.51,2.6,0.052,13,27,0.995,3.32,0.9,13.4,2
494,8.7,0.69,0.31,3,0.086,23,81,1.0002,3.48,0.74,11.6,2
495,6.5,0.39,0.23,8.3,0.051,28,91,0.9952,3.44,0.55,12.1,2
496,10.7,0.35,0.53,2.6,0.07,5,16,0.9972,3.15,0.65,11,2
497,7.8,0.52,0.25,1.9,0.081,14,38,0.9984,3.43,0.65,9,2
498,7.2,0.34,0.32,2.5,0.09,43,113,0.9966,3.32,0.79,11.1,1
499,10.7,0.35,0.53,2.6,0.07,5,16,0.9972,3.15,0.65,11,2
500,8.7,0.69,0.31,3,0.086,23,81,1.0002,3.48,0.74,11.6,2
501,7.8,0.52,0.25,1.9,0.081,14,38,0.9984,3.43,0.65,9,2
502,10.4,0.44,0.73,6.55,0.074,38,76,0.999,3.17,0.85,12,2
503,10.4,0.44,0.73,6.55,0.074,38,76,0.999,3.17,0.85,12,2
504,10.5,0.26,0.47,1.9,0.078,6,24,0.9976,3.18,1.04,10.9,2
505,10.5,0.24,0.42,1.8,0.077,6,22,0.9976,3.21,1.05,10.8,2
506,10.2,0.49,0.63,2.9,0.072,10,26,0.9968,3.16,0.78,12.5,2
507,10.4,0.24,0.46,1.8,0.075,6,21,0.9976,3.25,1.02,10.8,2
508,11.2,0.67,0.55,2.3,0.084,6,13,1,3.17,0.71,9.5,2
509,10,0.59,0.31,2.2,0.09,26,62,0.9994,3.18,0.63,10.2,2
510,13.3,0.29,0.75,2.8,0.084,23,43,0.9986,3.04,0.68,11.4,2
511,12.4,0.42,0.49,4.6,0.073,19,43,0.9978,3.02,0.61,9.5,1
512,10,0.59,0.31,2.2,0.09,26,62,0.9994,3.18,0.63,10.2,2
513,10.7,0.4,0.48,2.1,0.125,15,49,0.998,3.03,0.81,9.7,2
514,10.5,0.51,0.64,2.4,0.107,6,15,0.9973,3.09,0.66,11.8,2
515,10.5,0.51,0.64,2.4,0.107,6,15,0.9973,3.09,0.66,11.8,2
516,8.5,0.655,0.49,6.1,0.122,34,151,1.001,3.31,1.14,9.3,1
517,12.5,0.6,0.49,4.3,0.1,5,14,1.001,3.25,0.74,11.9,2
518,10.4,0.61,0.49,2.1,0.2,5,16,0.9994,3.16,0.63,8.4,1
519,10.9,0.21,0.49,2.8,0.088,11,32,0.9972,3.22,0.68,11.7,2
520,7.3,0.365,0.49,2.5,0.088,39,106,0.9966,3.36,0.78,11,1
521,9.8,0.25,0.49,2.7,0.088,15,33,0.9982,3.42,0.9,10,2
522,7.6,0.41,0.49,2,0.088,16,43,0.998,3.48,0.64,9.1,1
523,8.2,0.39,0.49,2.3,0.099,47,133,0.9979,3.38,0.99,9.8,1
524,9.3,0.4,0.49,2.5,0.085,38,142,0.9978,3.22,0.55,9.4,1
525,9.2,0.43,0.49,2.4,0.086,23,116,0.9976,3.23,0.64,9.5,1
526,10.4,0.64,0.24,2.8,0.105,29,53,0.9998,3.24,0.67,9.9,1
527,7.3,0.365,0.49,2.5,0.088,39,106,0.9966,3.36,0.78,11,1
528,7,0.38,0.49,2.5,0.097,33,85,0.9962,3.39,0.77,11.4,2
529,8.2,0.42,0.49,2.6,0.084,32,55,0.9988,3.34,0.75,8.7,2
530,9.9,0.63,0.24,2.4,0.077,6,33,0.9974,3.09,0.57,9.4,1
531,9.1,0.22,0.24,2.1,0.078,1,28,0.999,3.41,0.87,10.3,2
532,11.9,0.38,0.49,2.7,0.098,12,42,1.0004,3.16,0.61,10.3,1
533,11.9,0.38,0.49,2.7,0.098,12,42,1.0004,3.16,0.61,10.3,1
534,10.3,0.27,0.24,2.1,0.072,15,33,0.9956,3.22,0.66,12.8,2
535,10,0.48,0.24,2.7,0.102,13,32,1,3.28,0.56,10,2
536,9.1,0.22,0.24,2.1,0.078,1,28,0.999,3.41,0.87,10.3,2
537,9.9,0.63,0.24,2.4,0.077,6,33,0.9974,3.09,0.57,9.4,1
538,8.1,0.825,0.24,2.1,0.084,5,13,0.9972,3.37,0.77,10.7,2
539,12.9,0.35,0.49,5.8,0.066,5,35,1.0014,3.2,0.66,12,2
540,11.2,0.5,0.74,5.15,0.1,5,17,0.9996,3.22,0.62,11.2,1
541,9.2,0.59,0.24,3.3,0.101,20,47,0.9988,3.26,0.67,9.6,1
542,9.5,0.46,0.49,6.3,0.064,5,17,0.9988,3.21,0.73,11,2
543,9.3,0.715,0.24,2.1,0.07,5,20,0.9966,3.12,0.59,9.9,1
544,11.2,0.66,0.24,2.5,0.085,16,53,0.9993,3.06,0.72,11,2
545,14.3,0.31,0.74,1.8,0.075,6,15,1.0008,2.86,0.79,8.4,2
546,9.1,0.47,0.49,2.6,0.094,38,106,0.9982,3.08,0.59,9.1,1
547,7.5,0.55,0.24,2,0.078,10,28,0.9983,3.45,0.78,9.5,2
548,10.6,0.31,0.49,2.5,0.067,6,21,0.9987,3.26,0.86,10.7,2
549,12.4,0.35,0.49,2.6,0.079,27,69,0.9994,3.12,0.75,10.4,2
550,9,0.53,0.49,1.9,0.171,6,25,0.9975,3.27,0.61,9.4,2
551,6.8,0.51,0.01,2.1,0.074,9,25,0.9958,3.33,0.56,9.5,2
552,9.4,0.43,0.24,2.8,0.092,14,45,0.998,3.19,0.73,10,2
553,9.5,0.46,0.24,2.7,0.092,14,44,0.998,3.12,0.74,10,2
554,5,1.04,0.24,1.6,0.05,32,96,0.9934,3.74,0.62,11.5,1
555,15.5,0.645,0.49,4.2,0.095,10,23,1.00315,2.92,0.74,11.1,1
556,15.5,0.645,0.49,4.2,0.095,10,23,1.00315,2.92,0.74,11.1,1
557,10.9,0.53,0.49,4.6,0.118,10,17,1.0002,3.07,0.56,11.7,2
558,15.6,0.645,0.49,4.2,0.095,10,23,1.00315,2.92,0.74,11.1,1
559,10.9,0.53,0.49,4.6,0.118,10,17,1.0002,3.07,0.56,11.7,2
560,13,0.47,0.49,4.3,0.085,6,47,1.0021,3.3,0.68,12.7,2
561,12.7,0.6,0.49,2.8,0.075,5,19,0.9994,3.14,0.57,11.4,1
562,9,0.44,0.49,2.4,0.078,26,121,0.9978,3.23,0.58,9.2,1
563,9,0.54,0.49,2.9,0.094,41,110,0.9982,3.08,0.61,9.2,1
564,7.6,0.29,0.49,2.7,0.092,25,60,0.9971,3.31,0.61,10.1,2
565,13,0.47,0.49,4.3,0.085,6,47,1.0021,3.3,0.68,12.7,2
566,12.7,0.6,0.49,2.8,0.075,5,19,0.9994,3.14,0.57,11.4,1
567,8.7,0.7,0.24,2.5,0.226,5,15,0.9991,3.32,0.6,9,2
568,8.7,0.7,0.24,2.5,0.226,5,15,0.9991,3.32,0.6,9,2
569,9.8,0.5,0.49,2.6,0.25,5,20,0.999,3.31,0.79,10.7,2
570,6.2,0.36,0.24,2.2,0.095,19,42,0.9946,3.57,0.57,11.7,2
571,11.5,0.35,0.49,3.3,0.07,10,37,1.0003,3.32,0.91,11,2
572,6.2,0.36,0.24,2.2,0.095,19,42,0.9946,3.57,0.57,11.7,2
573,10.2,0.24,0.49,2.4,0.075,10,28,0.9978,3.14,0.61,10.4,1
574,10.5,0.59,0.49,2.1,0.07,14,47,0.9991,3.3,0.56,9.6,1
575,10.6,0.34,0.49,3.2,0.078,20,78,0.9992,3.19,0.7,10,2
576,12.3,0.27,0.49,3.1,0.079,28,46,0.9993,3.2,0.8,10.2,2
577,9.9,0.5,0.24,2.3,0.103,6,14,0.9978,3.34,0.52,10,1
578,8.8,0.44,0.49,2.8,0.083,18,111,0.9982,3.3,0.6,9.5,1
579,8.8,0.47,0.49,2.9,0.085,17,110,0.9982,3.29,0.6,9.8,1
580,10.6,0.31,0.49,2.2,0.063,18,40,0.9976,3.14,0.51,9.8,2
581,12.3,0.5,0.49,2.2,0.089,5,14,1.0002,3.19,0.44,9.6,1
582,12.3,0.5,0.49,2.2,0.089,5,14,1.0002,3.19,0.44,9.6,1
583,11.7,0.49,0.49,2.2,0.083,5,15,1,3.19,0.43,9.2,1
584,12,0.28,0.49,1.9,0.074,10,21,0.9976,2.98,0.66,9.9,2
585,11.8,0.33,0.49,3.4,0.093,54,80,1.0002,3.3,0.76,10.7,2
586,7.6,0.51,0.24,2.4,0.091,8,38,0.998,3.47,0.66,9.6,2
587,11.1,0.31,0.49,2.7,0.094,16,47,0.9986,3.12,1.02,10.6,2
588,7.3,0.73,0.24,1.9,0.108,18,102,0.9967,3.26,0.59,9.3,1
589,5,0.42,0.24,2,0.06,19,50,0.9917,3.72,0.74,14,2
590,10.2,0.29,0.49,2.6,0.059,5,13,0.9976,3.05,0.74,10.5,2
591,9,0.45,0.49,2.6,0.084,21,75,0.9987,3.35,0.57,9.7,1
592,6.6,0.39,0.49,1.7,0.07,23,149,0.9922,3.12,0.5,11.5,2
593,9,0.45,0.49,2.6,0.084,21,75,0.9987,3.35,0.57,9.7,1
594,9.9,0.49,0.58,3.5,0.094,9,43,1.0004,3.29,0.58,9,1
595,7.9,0.72,0.17,2.6,0.096,20,38,0.9978,3.4,0.53,9.5,1
596,8.9,0.595,0.41,7.9,0.086,30,109,0.9998,3.27,0.57,9.3,1
597,12.4,0.4,0.51,2,0.059,6,24,0.9994,3.04,0.6,9.3,2
598,11.9,0.58,0.58,1.9,0.071,5,18,0.998,3.09,0.63,10,2
599,8.5,0.585,0.18,2.1,0.078,5,30,0.9967,3.2,0.48,9.8,2
600,12.7,0.59,0.45,2.3,0.082,11,22,1,3,0.7,9.3,2
601,8.2,0.915,0.27,2.1,0.088,7,23,0.9962,3.26,0.47,10,1
602,13.2,0.46,0.52,2.2,0.071,12,35,1.0006,3.1,0.56,9,2
603,7.7,0.835,0,2.6,0.081,6,14,0.9975,3.3,0.52,9.3,1
604,13.2,0.46,0.52,2.2,0.071,12,35,1.0006,3.1,0.56,9,2
605,8.3,0.58,0.13,2.9,0.096,14,63,0.9984,3.17,0.62,9.1,2
606,8.3,0.6,0.13,2.6,0.085,6,24,0.9984,3.31,0.59,9.2,2
607,9.4,0.41,0.48,4.6,0.072,10,20,0.9973,3.34,0.79,12.2,2
608,8.8,0.48,0.41,3.3,0.092,26,52,0.9982,3.31,0.53,10.5,2
609,10.1,0.65,0.37,5.1,0.11,11,65,1.0026,3.32,0.64,10.4,2
610,6.3,0.36,0.19,3.2,0.075,15,39,0.9956,3.56,0.52,12.7,2
611,8.8,0.24,0.54,2.5,0.083,25,57,0.9983,3.39,0.54,9.2,1
612,13.2,0.38,0.55,2.7,0.081,5,16,1.0006,2.98,0.54,9.4,1
613,7.5,0.64,0,2.4,0.077,18,29,0.9965,3.32,0.6,10,2
614,8.2,0.39,0.38,1.5,0.058,10,29,0.9962,3.26,0.74,9.8,1
615,9.2,0.755,0.18,2.2,0.148,10,103,0.9969,2.87,1.36,10.2,2
616,9.6,0.6,0.5,2.3,0.079,28,71,0.9997,3.5,0.57,9.7,1
617,9.6,0.6,0.5,2.3,0.079,28,71,0.9997,3.5,0.57,9.7,1
618,11.5,0.31,0.51,2.2,0.079,14,28,0.9982,3.03,0.93,9.8,2
619,11.4,0.46,0.5,2.7,0.122,4,17,1.0006,3.13,0.7,10.2,1
620,11.3,0.37,0.41,2.3,0.088,6,16,0.9988,3.09,0.8,9.3,1
621,8.3,0.54,0.24,3.4,0.076,16,112,0.9976,3.27,0.61,9.4,1
622,8.2,0.56,0.23,3.4,0.078,14,104,0.9976,3.28,0.62,9.4,1
623,10,0.58,0.22,1.9,0.08,9,32,0.9974,3.13,0.55,9.5,1
624,7.9,0.51,0.25,2.9,0.077,21,45,0.9974,3.49,0.96,12.1,2
625,6.8,0.69,0,5.6,0.124,21,58,0.9997,3.46,0.72,10.2,1
626,6.8,0.69,0,5.6,0.124,21,58,0.9997,3.46,0.72,10.2,1
627,8.8,0.6,0.29,2.2,0.098,5,15,0.9988,3.36,0.49,9.1,1
628,8.8,0.6,0.29,2.2,0.098,5,15,0.9988,3.36,0.49,9.1,1
629,8.7,0.54,0.26,2.5,0.097,7,31,0.9976,3.27,0.6,9.3,2
630,7.6,0.685,0.23,2.3,0.111,20,84,0.9964,3.21,0.61,9.3,1
